"Grade","Section","Subject","Course Name","Link"
"Grade 7","CHARITY","Christian Living and Values Education","GRADE 7 - CHARITY|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=162"
"Grade 7","CHARITY","Computer","GRADE 7 - CHARITY|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=163"
"Grade 7","CHARITY","English","GRADE 7 - CHARITY|English","https://sbcjhs1.aralinks.net/course/view.php?id=164"
"Grade 7","CHARITY","Filipino","GRADE 7 - CHARITY|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=165"
"Grade 7","CHARITY","MAPEH","GRADE 7 - CHARITY|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=166"
"Grade 7","CHARITY","Mathematics","GRADE 7 - CHARITY|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=167"
"Grade 7","CHARITY","Phil-IRI","GRADE 7 - CHARITY|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=375"
"Grade 7","CHARITY","Science","GRADE 7 - CHARITY|Science","https://sbcjhs1.aralinks.net/course/view.php?id=168"
"Grade 7","CHARITY","Social Studies","GRADE 7 - CHARITY|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=169"
"Grade 7","CHARITY","TLE","GRADE 7 - CHARITY|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=170"
"Grade 7","FAITH","Christian Living and Values Education","GRADE 7 - FAITH|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=171"
"Grade 7","FAITH","Computer","GRADE 7 - FAITH|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=172"
"Grade 7","FAITH","English","GRADE 7 - FAITH|English","https://sbcjhs1.aralinks.net/course/view.php?id=173"
"Grade 7","FAITH","Filipino","GRADE 7 - FAITH|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=174"
"Grade 7","FAITH","MAPEH","GRADE 7 - FAITH|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=175"
"Grade 7","FAITH","Mathematics","GRADE 7 - FAITH|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=176"
"Grade 7","FAITH","Phil-IRI","GRADE 7 - FAITH|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=376"
"Grade 7","FAITH","Science","GRADE 7 - FAITH|Science","https://sbcjhs1.aralinks.net/course/view.php?id=177"
"Grade 7","FAITH","Social Studies","GRADE 7 - FAITH|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=178"
"Grade 7","FAITH","TLE","GRADE 7 - FAITH|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=179"
"Grade 7","HOPE","Christian Living and Values Education","GRADE 7 - HOPE|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=180"
"Grade 7","HOPE","Computer","GRADE 7 - HOPE|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=181"
"Grade 7","HOPE","English","GRADE 7 - HOPE|English","https://sbcjhs1.aralinks.net/course/view.php?id=182"
"Grade 7","HOPE","Filipino","GRADE 7 - HOPE|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=183"
"Grade 7","HOPE","MAPEH","GRADE 7 - HOPE|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=184"
"Grade 7","HOPE","Mathematics","GRADE 7 - HOPE|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=185"
"Grade 7","HOPE","Phil-IRI","GRADE 7 - HOPE|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=377"
"Grade 7","HOPE","Science","GRADE 7 - HOPE|Science","https://sbcjhs1.aralinks.net/course/view.php?id=186"
"Grade 7","HOPE","Social Studies","GRADE 7 - HOPE|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=187"
"Grade 7","HOPE","TLE","GRADE 7 - HOPE|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=188"
"Grade 7","JOY","Christian Living and Values Education","GRADE 7 - JOY|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=189"
"Grade 7","JOY","Computer","GRADE 7 - JOY|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=190"
"Grade 7","JOY","English","GRADE 7 - JOY|English","https://sbcjhs1.aralinks.net/course/view.php?id=191"
"Grade 7","JOY","Filipino","GRADE 7 - JOY|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=192"
"Grade 7","JOY","MAPEH","GRADE 7 - JOY|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=193"
"Grade 7","JOY","Mathematics","GRADE 7 - JOY|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=194"
"Grade 7","JOY","Phil-IRI","GRADE 7 - JOY|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=378"
"Grade 7","JOY","Science","GRADE 7 - JOY|Science","https://sbcjhs1.aralinks.net/course/view.php?id=195"
"Grade 7","JOY","Social Studies","GRADE 7 - JOY|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=196"
"Grade 7","JOY","TLE","GRADE 7 - JOY|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=197"
