"Grade","Section","Subject","Course Name","Link"
"Grade 7","LOVE","Christian Living and Values Education","GRADE 7 - LOVE|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=198"
"Grade 7","LOVE","Computer","GRADE 7 - LOVE|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=199"
"Grade 7","LOVE","English","GRADE 7 - LOVE|English","https://sbcjhs1.aralinks.net/course/view.php?id=200"
"Grade 7","LOVE","Filipino","GRADE 7 - LOVE|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=201"
"Grade 7","LOVE","MAPEH","GRADE 7 - LOVE|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=202"
"Grade 7","LOVE","Mathematics","GRADE 7 - LOVE|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=203"
"Grade 7","LOVE","Phil-IRI","GRADE 7 - LOVE|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=379"
"Grade 7","LOVE","Science","GRADE 7 - LOVE|Science","https://sbcjhs1.aralinks.net/course/view.php?id=204"
"Grade 7","LOVE","Social Studies","GRADE 7 - LOVE|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=205"
"Grade 7","LOVE","TLE","GRADE 7 - LOVE|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=206"
"Grade 8","COUNSEL","Christian Living and Values Education","GRADE 8 - COUNSEL|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=207"
"Grade 8","COUNSEL","Computer","GRADE 8 - COUNSEL|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=208"
"Grade 8","COUNSEL","English","GRADE 8 - COUNSEL|English","https://sbcjhs1.aralinks.net/course/view.php?id=209"
"Grade 8","COUNSEL","Filipino","GRADE 8 - COUNSEL|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=210"
"Grade 8","COUNSEL","MAPEH","GRADE 8 - COUNSEL|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=211"
"Grade 8","COUNSEL","Mathematics","GRADE 8 - COUNSEL|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=212"
"Grade 8","COUNSEL","Phil-IRI","GRADE 8 - COUNSEL|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=380"
"Grade 8","COUNSEL","Science","GRADE 8 - COUNSEL|Science","https://sbcjhs1.aralinks.net/course/view.php?id=213"
"Grade 8","COUNSEL","Social Studies","GRADE 8 - COUNSEL|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=214"
"Grade 8","COUNSEL","TLE","GRADE 8 - COUNSEL|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=215"
"Grade 8","FORTITUDE","Christian Living and Values Education","GRADE 8 - FORTITUDE|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=216"
"Grade 8","FORTITUDE","Computer","GRADE 8 - FORTITUDE|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=217"
"Grade 8","FORTITUDE","English","GRADE 8 - FORTITUDE|English","https://sbcjhs1.aralinks.net/course/view.php?id=218"
"Grade 8","FORTITUDE","Filipino","GRADE 8 - FORTITUDE|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=219"
"Grade 8","FORTITUDE","MAPEH","GRADE 8 - FORTITUDE|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=220"
"Grade 8","FORTITUDE","Mathematics","GRADE 8 - FORTITUDE|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=221"
"Grade 8","FORTITUDE","Phil-IRI","GRADE 8 - FORTITUDE|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=381"
"Grade 8","FORTITUDE","Science","GRADE 8 - FORTITUDE|Science","https://sbcjhs1.aralinks.net/course/view.php?id=222"
"Grade 8","FORTITUDE","Social Studies","GRADE 8 - FORTITUDE|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=223"
"Grade 8","FORTITUDE","TLE","GRADE 8 - FORTITUDE|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=224"
"Grade 8","KNOWLEDGE","Christian Living and Values Education","GRADE 8 - KNOWLEDGE|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=225"
"Grade 8","KNOWLEDGE","Computer","GRADE 8 - KNOWLEDGE|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=226"
"Grade 8","KNOWLEDGE","English","GRADE 8 - KNOWLEDGE|English","https://sbcjhs1.aralinks.net/course/view.php?id=227"
"Grade 8","KNOWLEDGE","Filipino","GRADE 8 - KNOWLEDGE|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=228"
"Grade 8","KNOWLEDGE","MAPEH","GRADE 8 - KNOWLEDGE|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=229"
"Grade 8","KNOWLEDGE","Mathematics","GRADE 8 - KNOWLEDGE|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=230"
"Grade 8","KNOWLEDGE","Phil-IRI","GRADE 8 - KNOWLEDGE|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=382"
"Grade 8","KNOWLEDGE","Science","GRADE 8 - KNOWLEDGE|Science","https://sbcjhs1.aralinks.net/course/view.php?id=231"
"Grade 8","KNOWLEDGE","Social Studies","GRADE 8 - KNOWLEDGE|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=232"
"Grade 8","KNOWLEDGE","TLE","GRADE 8 - KNOWLEDGE|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=233"
"Grade 8","PIETY","Christian Living and Values Education","GRADE 8 - PIETY|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=234"
"Grade 8","PIETY","Computer","GRADE 8 - PIETY|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=235"
"Grade 8","PIETY","English","GRADE 8 - PIETY|English","https://sbcjhs1.aralinks.net/course/view.php?id=236"
"Grade 8","PIETY","Filipino","GRADE 8 - PIETY|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=237"
"Grade 8","PIETY","MAPEH","GRADE 8 - PIETY|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=238"
"Grade 8","PIETY","Mathematics","GRADE 8 - PIETY|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=239"
"Grade 8","PIETY","Phil-IRI","GRADE 8 - PIETY|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=383"
"Grade 8","PIETY","Science","GRADE 8 - PIETY|Science","https://sbcjhs1.aralinks.net/course/view.php?id=240"
"Grade 8","PIETY","Social Studies","GRADE 8 - PIETY|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=241"
"Grade 8","PIETY","TLE","GRADE 8 - PIETY|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=242"
"Grade 8","STRENGTH","Christian Living and Values Education","GRADE 8 - STRENGTH|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=243"
"Grade 8","STRENGTH","Computer","GRADE 8 - STRENGTH|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=244"
"Grade 8","STRENGTH","English","GRADE 8 - STRENGTH|English","https://sbcjhs1.aralinks.net/course/view.php?id=245"
"Grade 8","STRENGTH","Filipino","GRADE 8 - STRENGTH|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=246"
"Grade 8","STRENGTH","MAPEH","GRADE 8 - STRENGTH|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=247"
"Grade 8","STRENGTH","Mathematics","GRADE 8 - STRENGTH|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=248"
"Grade 8","STRENGTH","Phil-IRI","GRADE 8 - STRENGTH|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=384"
"Grade 8","STRENGTH","Science","GRADE 8 - STRENGTH|Science","https://sbcjhs1.aralinks.net/course/view.php?id=249"
"Grade 8","STRENGTH","Social Studies","GRADE 8 - STRENGTH|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=250"
"Grade 8","STRENGTH","TLE","GRADE 8 - STRENGTH|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=251"
"Grade 8","UNDERSTANDING","Christian Living and Values Education","GRADE 8 - UNDERSTANDING|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=252"
"Grade 8","UNDERSTANDING","Computer","GRADE 8 - UNDERSTANDING|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=253"
"Grade 8","UNDERSTANDING","English","GRADE 8 - UNDERSTANDING|English","https://sbcjhs1.aralinks.net/course/view.php?id=254"
"Grade 8","UNDERSTANDING","Filipino","GRADE 8 - UNDERSTANDING|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=255"
"Grade 8","UNDERSTANDING","MAPEH","GRADE 8 - UNDERSTANDING|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=256"
"Grade 8","UNDERSTANDING","Mathematics","GRADE 8 - UNDERSTANDING|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=257"
"Grade 8","UNDERSTANDING","Phil-IRI","GRADE 8 - UNDERSTANDING|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=385"
"Grade 8","UNDERSTANDING","Science","GRADE 8 - UNDERSTANDING|Science","https://sbcjhs1.aralinks.net/course/view.php?id=258"
"Grade 8","UNDERSTANDING","Social Studies","GRADE 8 - UNDERSTANDING|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=259"
"Grade 8","UNDERSTANDING","TLE","GRADE 8 - UNDERSTANDING|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=260"
"Grade 8","WISDOM","Christian Living and Values Education","GRADE 8 - WISDOM|Christian Living and Values Education","https://sbcjhs1.aralinks.net/course/view.php?id=261"
"Grade 8","WISDOM","Computer","GRADE 8 - WISDOM|Computer","https://sbcjhs1.aralinks.net/course/view.php?id=262"
"Grade 8","WISDOM","English","GRADE 8 - WISDOM|English","https://sbcjhs1.aralinks.net/course/view.php?id=263"
"Grade 8","WISDOM","Filipino","GRADE 8 - WISDOM|Filipino","https://sbcjhs1.aralinks.net/course/view.php?id=264"
"Grade 8","WISDOM","MAPEH","GRADE 8 - WISDOM|MAPEH","https://sbcjhs1.aralinks.net/course/view.php?id=265"
"Grade 8","WISDOM","Mathematics","GRADE 8 - WISDOM|Mathematics","https://sbcjhs1.aralinks.net/course/view.php?id=266"
"Grade 8","WISDOM","Phil-IRI","GRADE 8 - WISDOM|Phil-IRI","https://sbcjhs1.aralinks.net/course/view.php?id=386"
"Grade 8","WISDOM","Science","GRADE 8 - WISDOM|Science","https://sbcjhs1.aralinks.net/course/view.php?id=267"
"Grade 8","WISDOM","Social Studies","GRADE 8 - WISDOM|Social Studies","https://sbcjhs1.aralinks.net/course/view.php?id=268"
"Grade 8","WISDOM","TLE","GRADE 8 - WISDOM|TLE","https://sbcjhs1.aralinks.net/course/view.php?id=269"
